Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación
5408073;9/12/2022;19 Ciudad Bolivar;EL OASIS;N/A;KR 36F 41 SUR 46;Daño en redes de servicio públicos energía
5408074;10/12/2022;2 Chapinero;LOS ROSALES;N/A;AK 7 81 26;Daño en redes de servicio públicos acueducto
5408075;10/12/2022;11 Suba;BILBAO I SECTOR;N/A;CL 143B 147A 0;Daño en redes de servicio públicos energía
5408076;10/12/2022;1 Usaquen;SAN PATRICIO;N/A;AK 45 106B 0;Daño en redes de servicio públicos gas
5408077;10/12/2022;11 Suba;CANODROMO;N/A;AC 127 45A 0;Accidente de tránsito
5408078;10/12/2022;8 Kennedy;CARVAJAL;N/A;KR 69C 37A SUR 98;Caida de árbol
5408079;10/12/2022;12 Barrios Unidos;PARQUE POPULAR EL SALITRE;N/A;CL 63 60 80;Caida de árbol
5408080;10/12/2022;5 Usme;SAN PEDRO;N/A;CL 138 SUR KR 3 BIS A;Caida de árbol
5408081;10/12/2022;11 Suba;URB. BALCÓN DE SUBA;N/A;KR 87 128B 46;Caida de árbol - Pérdida de verticalidad de árbol
5408082;10/12/2022;10 Engativa;EL_CORTIJO;N/A;CL 83A 114 19;Caida de árbol - Pérdida de verticalidad de árbol
5408083;10/12/2022;3 Santa Fe;RAMIREZ;N/A;CL 1 BIS D 1A ESTE;Animales Peligrosos
5408084;10/12/2022;10 Engativa;URB. CARACOLI;N/A;KR 73A 64F 86;Animales Peligrosos
5408085;10/12/2022;11 Suba;TUNA BAJA;N/A;CL 155 100;Daños en malla vial
5408086;10/12/2022;1 Usaquen;SANTA BIBIANA;N/A;KR 21 103 51;Rescate en Espacios Confinados - En Ascensores
5408087;10/12/2022;10 Engativa;SAN IGNACIO;N/A;AC 26 85D 0;Conato de incendio
5408088;10/12/2022;5 Usme;DANUBIO AZUL;N/A;KR 4F 56 SUR 84A;Daño en redes de servicio públicos energía
5408089;10/12/2022;4 San Cristobal;URB. BALCONES DE PROVENZA;N/A;CL 36H SUR 5 ESTE 25;Quemas
5408090;10/12/2022;6 Tunjuelito;ISLA DEL SOL;N/A;CL 67B SUR 64 22;Daño en redes de servicio públicos alcantarillado
5408091;10/12/2022;19 Ciudad Bolivar;SAN FRANCISCO I SECTOR;N/A;KR 22A 62 SUR 42;Daño en redes de servicio públicos alcantarillado
5408092;10/12/2022;11 Suba;CANIZA I, II Y III;N/A;CL 129A 124 29;Daño en redes de servicio públicos energía
5408093;10/12/2022;16 Puente Aranda;AUTOPISTA SUR;N/A;KR 50A 40 SUR 6;Animales Peligrosos
5408094;10/12/2022;1 Usaquen;RINCON DEL CHICO;N/A;CL 103A 11B 49;Rescate en Espacios Confinados - En Ascensores
5408095;10/12/2022;10 Engativa;BOYACA;N/A;CL 69A 74A 44;Animales Peligrosos
