Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación
5395491;25/04/2022;8 Kennedy;TAYRONA;82 - PATIO BONITO;CL 5 86A 28;Animales Peligrosos
5395490;25/04/2022;11 Suba;CLUB LOS LAGARTOS;24 - NIZA;KR 72A 120 54;Caida de árbol - Pérdida de verticalidad de árbol
5395489;25/04/2022;11 Suba;TIBABUYES;27 - SUBA;KR 114B 151D 12;Caida de árbol - Pérdida de verticalidad de árbol
5395488;25/04/2022;10 Engativa;LA SERENA;29 - MINUTO DE DIOS;KR 84A 89 74;Caida de árbol - Pérdida de verticalidad de árbol
5395487;25/04/2022;15 Antonio NariÃ±o;SANTANDER SUR;38 - RESTREPO;AK 27 29A SUR 37;Daño en redes de servicio públicos alcantarillado
5395486;25/04/2022;2 Chapinero;SAN ISIDRO;N/A;KR 6 ESTE 102A 18 INT 2;Riesgo de colapso estructural
5395485;25/04/2022;1 UsaquÃ©n;TORCA;1 - PASEO DE LOS LIBERTADORES;CL 245 7 95;Caida de árbol - Pérdida de verticalidad de árbol
5395484;25/04/2022;7 Bosa;ESCOCIA;84 - BOSA OCCIDENTAL;KR 87J 55 SUR 0;Daño en redes de servicio públicos gas
5395483;25/04/2022;1 UsaquÃ©n;SANTA BARBARA OCCIDENTAL;16 - SANTA BARBARA;KR 18C 118 22;Caida de árbol
5395482;25/04/2022;11 Suba;LAS FLORES;27 - SUBA;CL 146A 95B 7;Daño en redes de servicio públicos gas
5395481;25/04/2022;11 Suba;VILLA MARIA;28 - EL RINCON;CL 137 107 0;Caida de árbol - Pérdida de verticalidad de árbol
5395480;25/04/2022;11 Suba;NIZA SUBA;24 - NIZA;CL 128 72 80;Caida de árbol
5395479;25/04/2022;11 Suba;RINCON DE SANTA INES COMPARTIR SUBA;N/A;DG 152 133 0;Caida de árbol - Pérdida de verticalidad de árbol
5395478;25/04/2022;2 Chapinero;EL NOGAL;88 - EL REFUGIO;CL 77 8 61;Caida de árbol
5395477;25/04/2022;10 Engativa;PARIS;30 - BOYACA REAL;KR 91A 75 3;Caida de árbol
5395476;25/04/2022;2 Chapinero;EMAUS;88 - EL REFUGIO;CL 69A 4 26;Caida de árbol - Caída de ramas
5395475;25/04/2022;11 Suba;CASA BLANCA;3 - GUAYMARAL;AK 45 225 51;Caida de árbol - Pérdida de verticalidad de árbol
5395474;25/04/2022;11 Suba;SAN CIPRIANO;18 - BRITALIA;KR 52 165 0;Caida de árbol
5395473;25/04/2022;19 Ciudad BolÃ­var;EL LIMONAR;68 - EL TESORO;KR 18C 80A SUR 43;Fenómeno de Remoción en Masa
5395472;25/04/2022;9 FontibÃ³n;SANTA CECILIA;114 - MODELIA;CL 24D 84 12;Caida de árbol
5395471;25/04/2022;4 San Cristobal;LA GLORIA;50 - LA GLORIA;KR 9 ESTE 46 SUR 33;Fenómeno de Remoción en Masa
5395470;25/04/2022;19 Ciudad BolÃ­var;LA CONCEPCION;67 - LUCERO;CL 72 A SUR 22 16;Fenómeno de Remoción en Masa
5395469;25/04/2022;11 Suba;TUNA ALTA;27 - SUBA;KR 90 152A 0;Caida de árbol - Pérdida de verticalidad de árbol
5395468;25/04/2022;5 Usme;SAN GERMAN II;51 - LOS LIBERTADORES;CL 72B SUR 13A ESTE 06;Granizada
5395467;25/04/2022;12 Barrios Unidos;LA ESPERANZA;98 - LOS ALCAZARES;AK 14 63 55;Encharcamiento
5395466;25/04/2022;12 Barrios Unidos;LA ESPERANZA;98 - LOS ALCAZARES;CL 63C 16 74;Caida de árbol - Pérdida de verticalidad de árbol
5395465;25/04/2022;2 Chapinero;MARIA CRISTINA;90 - PARDO RUBIO;CL 65 4 53;Encharcamiento
5395464;25/04/2022;11 Suba;SUBA URBANO;27 - SUBA;KR 90 148;Caida de árbol - Pérdida de verticalidad de árbol
5395463;25/04/2022;2 Chapinero;CHAPINERO NORTE;99 - CHAPINERO;KR 8 65 0;Caida de árbol - Caída de ramas
5395462;25/04/2022;4 San Cristobal;A.S.D.;32 - SAN BLAS;KR 11A ESTE 36I 08 SUR;Riesgo de Fenómeno de remoción en masa
5395461;25/04/2022;2 Chapinero;MARIA CRISTINA;90 - PARDO RUBIO;TV 1 ESTE 65C 41;Caida de árbol
5395460;25/04/2022;1 UsaquÃ©n;SANTA BARBARA CENTRAL;16 - SANTA BARBARA;KR 11B 120 32;Caida de árbol
5395459;25/04/2022;10 Engativa;LA PRIMAVERA;29 - MINUTO DE DIOS;CL 84A 90 39;Caida de árbol - Pérdida de verticalidad de árbol
5395456;25/04/2022;11 Suba;BOCHALEMA;28 - EL RINCON;CL 141 103A 14;Caida de árbol - Pérdida de verticalidad de árbol
5395455;25/04/2022;2 Chapinero;BOSQUE CALDERON TEJADA;90 - PARDO RUBIO;CL 68 0 ESTE 51;Caida de árbol
5395454;25/04/2022;2 Chapinero;CHICO;88 - EL REFUGIO;CL 90 7A 7;Caida de árbol
5395453;25/04/2022;1 UsaquÃ©n;PRADERA NORTE;12 - TOBERIN;DG 167 12 69;Caida de árbol
5395452;25/04/2022;11 Suba;TUNA ALTA;27 - SUBA;KR 92 152A 50;Caida de árbol
5395451;25/04/2022;5 Usme;VILLA ANITA;58 - COMUNEROS;CL 117A SUR 12 6;Daño en redes de servicio públicos alcantarillado
5395450;25/04/2022;5 Usme;TOCAIMITA;57 - GRAN YOMASA;KR 10B ESTE 89 SUR 0(84);Fenómeno de Remoción en Masa
5395449;25/04/2022;5 Usme;SANTA LIBRADA NORTE;57 - GRAN YOMASA;KR 9 73 SUR 1;Caida de árbol
5395448;25/04/2022;7 Bosa;ISLANDIA;85 - BOSA CENTRAL;KR 86 73F SUR 45;Daño en redes de servicio públicos energía
5395447;25/04/2022;13 Teusaquillo;SEARS;100 - GALERIAS;KR 27A 53A 5;Daño en redes de servicio públicos acueducto
5395446;25/04/2022;11 Suba;VEREDA GUAYMARAL;N/A;KM 5 VÍA COTA;Caida de árbol
5395445;25/04/2022;9 FontibÃ³n;LA PERLA;76 - FONTIBON SAN PABLO;KR 123 17 0;Caida de árbol - Pérdida de verticalidad de árbol
5395444;25/04/2022;5 Usme;ALASKA;N/A;KR 6 167A SUR;Fenómeno de Remoción en Masa
5395443;25/04/2022;11 Suba;CONEJERA;N/A;CL 221 108;Caida de árbol
5395442;25/04/2022;11 Suba;TUNA ALTA;27 - SUBA;KR 90 153;Caida de árbol
5395441;25/04/2022;2 Chapinero;CHICO;88 - EL REFUGIO;KR 9 88 40;Caida de árbol - Caída de ramas
5395440;25/04/2022;16 Puente Aranda;JAZMIN II;40 - CIUDAD MONTES;TV 52 1A 30;Daño en redes de servicio públicos gas
5395439;25/04/2022;2 Chapinero;CHICO NORTE II;88 - EL REFUGIO;KR 7A 96 10;Caida de árbol
5395438;25/04/2022;5 Usme;SAN PEDRO;52 - LA FLORA;KR 17 BIS ESTE 80A SUR 7;Fenómeno de Remoción en Masa
5395437;25/04/2022;19 Ciudad BolÃ­var;N.N.;67 - LUCERO;CL 76 B SUR KR 26 A BIS B ( BELLAFLOR );Fenómeno de Remoción en Masa
5395436;25/04/2022;2 Chapinero;CHICO;97 - CHICO LAGO;KR 18 89 16;Caida de árbol
5395587;26/04/2022;5 Usme;EL REFUGIO II;59 - ALFONSO LOPEZ;KR 10C ESTE 107 SUR 69;Riesgo de Fenómeno de remoción en masa
5395586;26/04/2022;11 Suba;MAZUREN;19 - EL PRADO;CL 152B 55 45;Daño en redes de servicio públicos gas
5395585;26/04/2022;8 Kennedy;URBANIZACION CIUDAD KENNEDY SU;45 - CARVAJAL;KR 73C BIS 38C SUR 9;Daño en redes de servicio públicos acueducto
5395584;26/04/2022;11 Suba;SANTA HELENA I;19 - EL PRADO;CL 145 57A 23;Daño en redes de servicio públicos acueducto
5395583;26/04/2022;20 Sumapaz;VEREDA TUNAL BAJO;N/A;VEREDA TUNAL BAJO;Riesgo de Fenómeno de remoción en masa
5395582;26/04/2022;7 Bosa;GRAN BRITALIA;81 - GRAN BRITALIA;CL 55 SUR 81I 10;Daño en redes de servicio públicos alcantarillado
5395581;26/04/2022;12 Barrios Unidos;JOSE JOAQUIN VARGAS;22 - DOCE DE OCTUBRE;KR 62 67A 43;Incendio Estructuras
5395580;26/04/2022;3 Santa Fe;VITELMA;32 - SAN BLAS;CL 7 SUR 8A ESTE 30;Caida de árbol
5395579;26/04/2022;12 Barrios Unidos;LA CASTELLANA;21 - LOS ANDES;CL 93 49C 0;Caida de árbol - Caída de ramas
5395578;26/04/2022;13 Teusaquillo;ALFONSO LOPEZ;101 - TEUSAQUILLO;CL 49 20 15;Conato de incendio
5395577;26/04/2022;17 La Candelaria;CENTRO ADMINISTRATIVO;94 - LA CANDELARIA;CL 9 3 0;Colapso de estructura
5395576;26/04/2022;4 San Cristobal;LAS GUACAMAYAS;50 - LA GLORIA;CL 39D SUR 2R 21;Daño o falla estructural
5395575;26/04/2022;19 Ciudad BolÃ­var;LA ESTANCIA;69 - ISMAEL PERDOMO;CL 59 SUR 75 24;Caida de árbol
5395574;26/04/2022;2 Chapinero;LOS ROSALES;88 - EL REFUGIO;KR 2 ESTE 76 47;Caida de árbol - Pérdida de verticalidad de árbol
5395573;26/04/2022;19 Ciudad Bolivar;CIUDAD BOLIVAR;N/A;KR 18G 82F SUR;Daño en redes de servicio públicos acueducto
5395572;26/04/2022;11 Suba;POTOSI;N/A;AC 116 71C 5;Caida de árbol - Caída de ramas
5395571;26/04/2022;3 Santa Fe;SANTA BARBARA;94 - LA CANDELARIA;CL6A 7 21;Riesgo de colapso estructural
5395570;26/04/2022;1 UsaquÃ©n;CONTADOR;14 - USAQUEN;CL 128 7 28;Riesgo de colapso estructural
5395569;26/04/2022;13 Teusaquillo;QUINTA PAREDES;107 - QUINTA PAREDES;KR 44B 22 65;Riesgo de colapso estructural
5395568;26/04/2022;11 Suba;EL RINCON DE SUBA;28 - EL RINCON;CL 128 93D 51;Conato de incendio
5395567;26/04/2022;6 Tunjuelito;FATIMA;42 - VENECIA;CL 50A SUR 38 4;Daño en redes de servicio públicos energía
5395566;26/04/2022;4 San Cristobal;LA GLORIA;50 - LA GLORIA;KR 9 ESTE 46 SUR 26;Daño en redes de servicio públicos alcantarillado
5395565;26/04/2022;13 Teusaquillo;ARMENIA;101 - TEUSAQUILLO;CL 31 14 42;Caida de árbol - Pérdida de verticalidad de árbol
5395564;26/04/2022;4 San Cristobal;URBANIZACION LA CASTANA;32 - SAN BLAS;CL 20B SUR 12 ESTE 20;Caida de árbol
5395563;26/04/2022;1 UsaquÃ©n;LA LIBERIA;12 - TOBERIN;CL 155 14 10;Caida de árbol
5395562;26/04/2022;1 UsaquÃ©n;ACACIAS USAQUEN;13 - LOS CEDROS;CL 144 11 0;Conato de incendio
5395561;26/04/2022;4 San Cristobal;A.S.D.;32 - SAN BLAS;CL 33A SUR 12B ESTE 7;Caida de árbol - Pérdida de verticalidad de árbol
5395560;26/04/2022;11 Suba;VICTORIA NORTE;19 - EL PRADO;AK 45 146A 1;Caida de árbol
5395559;26/04/2022;11 Suba;IBERIA;24 - NIZA;AK 72 134 15;Caida de árbol
5395558;26/04/2022;11 Suba;SAN CIPRIANO;18 - BRITALIA;KR 52 165 58;Caida de árbol
5395557;26/04/2022;11 Suba;COMPARTIR SUBA;71 - TIBABUYES;KR 133 152D;Caida de árbol
5395556;26/04/2022;10 Engativa;VILLAS DE GRANADA;73 - GARCES NAVAS;CL 73A 112A 15;Caida de árbol
5395555;26/04/2022;7 Bosa;GRAN BRITALIA;81 - GRAN BRITALIA;CL 54C SUR 81G BIS 0;Daño en redes de servicio públicos gas
5395554;26/04/2022;4 San Cristobal;ATENAS;34 - 20 DE JULIO;KR 3A ESTE 31D SUR 20;Daño en redes de servicio públicos energía
5395553;26/04/2022;16 Puente Aranda;REMANSO SUR;40 - CIUDAD MONTES;CL 17 SUR 39 60;Conato de incendio
5395552;26/04/2022;11 Suba;VILLA CINDY;71 - TIBABUYES;CALLE 138C NO. 157 - 89;Daño en redes de servicio públicos alcantarillado
5395551;26/04/2022;5 Usme;SANTA MARTA;57 - GRAN YOMASA;KR 11 67A SUR 9;Caida de árbol
5395550;26/04/2022;10 Engativa;VILLAS DEL MADRIGAL;73 - GARCES NAVAS;KR 96A 75 40;Caida de árbol - Pérdida de verticalidad de árbol
5395549;26/04/2022;4 San Cristobal;A.S.D.;32 - SAN BLAS;CL 36G SUR 11C ESTE 7;Caida de árbol - Pérdida de verticalidad de árbol
5395548;26/04/2022;1 UsaquÃ©n;LOS CEDRITOS;13 - LOS CEDROS;CL 145 15 89;Caida de árbol - Pérdida de verticalidad de árbol
5395547;26/04/2022;2 Chapinero;QUINTA CAMACHO;97 - CHICO LAGO;CL 70A 11 38;Caida de árbol - Pérdida de verticalidad de árbol
5395546;26/04/2022;11 Suba;MAZUREN;19 - EL PRADO;CL 153 45 53;Caida de árbol - Caída de ramas
5395545;26/04/2022;3 Santa Fe;JULIO CESAR TURBAY;96 - LOURDES;CL 9A BIS 6 ESTE 86;Caida de árbol
5395544;26/04/2022;1 UsaquÃ©n;CONTADOR;14 - USAQUEN;AK 9 131A 2;Caida de árbol
5395543;26/04/2022;1 UsaquÃ©n;RINCON DEL CEDRO;13 - LOS CEDROS;CL 151 15 70;Caida de árbol
5395542;26/04/2022;19 Ciudad BolÃ­var;POTOSI;70 - JERUSALEM;TV 44A 78 SUR 26;Accidente de tránsito
5395541;26/04/2022;7 Bosa;LAURELES;N/A;CL 77 SUR 81 80;Animales Peligrosos
5395540;26/04/2022;8 Kennedy;GRAN BRITALIA I;81 - GRAN BRITALIA;KR 82 43 SUR 46;Animales Peligrosos
5395539;26/04/2022;4 San Cristobal;URBANIZACION LAS MERCEDES;32 - SAN BLAS;KR 11 ESTE 20 SUR 69;Fenómeno de Remoción en Masa
5395538;26/04/2022;11 Suba;BRITALIA;18 - BRITALIA;KR 58 165 20;Daño en redes de servicio públicos alcantarillado
5395537;26/04/2022;2 Chapinero;CHICO NORTE;97 - CHICO LAGO;KR 13A 93 66;Caida de árbol
5395536;26/04/2022;3 Santa Fe;VITELMA;32 - SAN BLAS;CL 6C SUR 8A ESTE 19;Caida de árbol - Pérdida de verticalidad de árbol
5395535;26/04/2022;10 Engativa;SANTA HELENITA;30 - BOYACA REAL;KR 82 68B 9;Caida de árbol
5395534;26/04/2022;8 Kennedy;MARGARITAS OCCIDENTAL;83 - LAS MARGARITAS;KR 89 45A SUR 33;Daño en redes de servicio públicos energía
5395533;26/04/2022;10 Engativa;SANTA MARIA;30 - BOYACA REAL;CL 73A 73A 40;Animales Peligrosos
5395532;26/04/2022;19 Ciudad BolÃ­var;URBANIZACION VILLA DE LOS ALPES;67 - LUCERO;CL 74 SUR 23 32;Colapso de estructura
5395531;26/04/2022;8 Kennedy;URBANIZACION CARVAJAL;45 - CARVAJAL;KR 69 BIS 36 SUR 21;Daño en redes de servicio públicos energía
5395530;26/04/2022;15 Antonio NariÃ±o;SAN ANTONIO DE PADUA;38 - RESTREPO;CL 3 SUR 18 17;Riesgo de colapso estructural
5395529;26/04/2022;5 Usme;PORTAL DEL DIVINO NINO;59 - ALFONSO LOPEZ;CL 110 SUR 9 ESTE 62;Animales Peligrosos
5395528;26/04/2022;7 Bosa;GRAN COLOMBIANO;85 - BOSA CENTRAL;KR 81H 75 SUR 85;Animales Peligrosos
5395527;26/04/2022;1 UsaquÃ©n;CEDRO BOLIVAR;13 - LOS CEDROS;CL 153 19 39;Animales Peligrosos
5395526;26/04/2022;7 Bosa;OSORIO DIEZ;86 - EL PORVENIR;KR 90B 49A SUR 8.;Animales Peligrosos
5395525;26/04/2022;8 Kennedy;URBANIZACION CASTILLA REAL;46 - CASTILLA;CL 13 79C 11;Animales Peligrosos
5395524;26/04/2022;4 San Cristobal;SAN PEDRO;32 - SAN BLAS;KR 3 ESTE 19 SUR 20;Riesgo de colapso estructural
5395523;26/04/2022;1 UsaquÃ©n;SANTA BARBARA OCCIDENTAL;16 - SANTA BARBARA;CL 121 15A 79;Caida de árbol - Caída de ramas
5395522;26/04/2022;16 Puente Aranda;SANTA MATILDE;40 - CIUDAD MONTES;KR 31B 1 52;Daño en redes de servicio públicos acueducto
5395521;26/04/2022;11 Suba;URBANIZACION SABANA DE TIBABUYES;71 - TIBABUYES;CL 143 118 0;Daño en redes de servicio públicos alcantarillado
5395520;26/04/2022;8 Kennedy;VISION DE COLOMBIA;46 - CASTILLA;KR 79G 15A 0;Daño en redes de servicio públicos energía
5395519;26/04/2022;19 Ciudad BolÃ­var;SAN RAFAEL;67 - LUCERO;KR 18L 69A BIS SUR 24;Daño en redes de servicio públicos energía
5395518;26/04/2022;9 FontibÃ³n;GRANJAS DE TECHO;112 - GRANJAS DE TECHO;CL 19 68B 0;Conato de incendio
5395517;26/04/2022;13 Teusaquillo;TEUSAQUILLO;101 - TEUSAQUILLO;KR 19 32 37;Daño en redes de servicio públicos acueducto
5395516;26/04/2022;5 Usme;LA ESMERALDA;58 - COMUNEROS;KR 4 100 SUR 22;Daño en redes de servicio públicos acueducto
5395515;26/04/2022;8 Kennedy;VISION DE COLOMBIA;46 - CASTILLA;KR 80 16 0;Daño en redes de servicio públicos energía
5395514;26/04/2022;1 UsaquÃ©n;N.N.;13 - LOS CEDROS;AK 7 135 0;Quemas - Basuras
5395513;26/04/2022;2 Chapinero;EL REFUGIO;88 - EL REFUGIO;DG 91 4B 65;Daño en redes de servicio públicos acueducto
5395688;27/04/2022;1 UsaquÃ©n;SANTA CECILIA NORTE PARTE ALTA;11 - SAN CRISTOBAL NORTE;DG 163A 2A 18;Fenómeno de Remoción en Masa
5395687;27/04/2022;8 Kennedy;SAN CARLOS;80 - CORABASTOS;CL 40D SUR 82B 4;Daño en redes de servicio públicos gas
5395686;27/04/2022;14 Los Martires;EDUARDO SANTOS;N/A;AC 153 50 0;Caida de árbol
5395685;27/04/2022;9 FontibÃ³n;EL PORVENIR;77 - ZONA FRANCA;KR 134 17 0;Daño en redes de servicio públicos gas
5395684;27/04/2022;19 Ciudad BolÃ­var;LA CONCEPCION;67 - LUCERO;KR 20A 71 SUR 0(64) ( BRISAS DEL VOLADOR );Riesgo de Fenómeno de remoción en masa
5395683;27/04/2022;13 Teusaquillo;CHAPINERO SUR OCCIDENTAL;100 - GALERIAS;CL 60 15A 17;Encharcamiento
5395682;27/04/2022;4 San Cristobal;HORACIO ORJUELA;32 - SAN BLAS;DG 32C SUR 7 ESTE 6;Quemas - Basuras
5395681;27/04/2022;19 Ciudad BolÃ­var;EL MIRADOR;67 - LUCERO;CL 71J SUR 26D 0(53);Riesgo de colapso estructural
5395680;27/04/2022;10 Engativa;EL ENCANTO;31 - SANTA CECILIA;CL 63 73 13;Daño en redes de servicio públicos alcantarillado
5395679;27/04/2022;19 Ciudad BolÃ­var;BELLA FLOR SUR;67 - LUCERO;CL 70K SUR 26 40;Riesgo de colapso estructural
5395678;27/04/2022;2 Chapinero;SAN MARTIN DE PORRES I Y II;90 - PARDO RUBIO;DG 40 5 ESTE 0;Fenómeno de Remoción en Masa
5395676;27/04/2022;11 Suba;CLUB LOS LAGARTOS;24 - NIZA;KR 72A 120 84;Caida de árbol - Pérdida de verticalidad de árbol
5395675;27/04/2022;11 Suba;LAS FLORES;27 - SUBA;CL 146C 94C 47;Caida de árbol - Pérdida de verticalidad de árbol
5395674;27/04/2022;10 Engativa;LA PRIMAVERA;N/A;AC 80 92 0;Daño en redes de servicio públicos alcantarillado
5395673;27/04/2022;18 Rafael Uribe Uribe;SAN JOSE;36 - SAN JOSE;CL 26B SUR 12 27;Conato de incendio
5395672;27/04/2022;2 Chapinero;EL NOGAL;88 - EL REFUGIO;CL 77 9 57;Caida de árbol
5395671;27/04/2022;15 Antonio NariÃ±o;CIUDAD BERNA;35 - CIUDAD JARDIN;KR 13 5 SUR 36;Conato de incendio
5395669;27/04/2022;2 Chapinero;CHAPINERO NORTE;99 - CHAPINERO;AK 14 63 0;Conato de incendio
5395668;27/04/2022;19 Ciudad Bolivar;REPUBLICA DE CANADA;N/A;DG 82 D SUR 21 B 48;Fenómeno de Remoción en Masa
5395667;27/04/2022;19 Ciudad BolÃ­var;BELLA FLOR;67 - LUCERO;KR 26G BIS 72G SUR 11;Fenómeno de Remoción en Masa
5395666;27/04/2022;8 Kennedy;EL CASTILLO;46 - CASTILLA;KR 85 7D 30;Daño en redes de servicio públicos gas
5395665;27/04/2022;2 Chapinero;LOS ROSALES;N/A;TV 2 ESTE 81 40.;Caida de árbol - Caída de ramas
5395664;27/04/2022;11 Suba;CASA BLANCA;2 - LA ACADEMIA;CL 222 54 0;Caida de árbol
5395663;27/04/2022;8 Kennedy;VILLA CLAUDIA;44 - AMERICAS;KR 69A 24 SUR 74;Daño en redes de servicio públicos alcantarillado
5395662;27/04/2022;15 Antonio NariÃ±o;EDUARDO FREI;38 - RESTREPO;TV 33 27 SUR 27;Encharcamiento
5395661;27/04/2022;19 Ciudad BolÃ­var;ARBORIZADORA ALTA;70 - JERUSALEM;KR 30 69J SUR 0;Daño en redes de servicio públicos alcantarillado
5395660;27/04/2022;11 Suba;PASADENA;20 - LA ALHAMBRA;CL 108 50 0;Caida de árbol
5395659;27/04/2022;19 Ciudad BolÃ­var;EL PARAISO;67 - LUCERO;CL 71F SUR 27L 91;Encharcamiento
5395658;27/04/2022;13 Teusaquillo;QUESADA;100 - GALERIAS;CL 51 15 34;Rescate en Espacios Confinados - En Ascensores
5395656;27/04/2022;1 Usaquen;SAN CRISTOBAL;N/A;CL 173A 8H 26;Daño en redes de servicio públicos alcantarillado
5395655;27/04/2022;19 Ciudad BolÃ­var;BRISAS;70 - JERUSALEM;KR 44 74A SUR 16;Encharcamiento
5395654;27/04/2022;6 Tunjuelito;CARMEN;N/A;DG 49 A SUR 29 A 07;Encharcamiento
5395653;27/04/2022;10 Engativa;BOLIVIA;72 - BOLIVIA;KR 109 83 50;Caida de árbol
5395652;27/04/2022;8 Kennedy;EL TINTAL;46 - CASTILLA;CL 12 81 18;Hallazgo de materiales peligrosos
5395651;27/04/2022;13 Teusaquillo;BANCO CENTRAL;100 - GALERIAS;CL 53B 18 33;Daño en redes de servicio públicos energía
5395650;27/04/2022;11 Suba;LAS VILLAS;24 - NIZA;KR 58B BIS 128B 49;Caida de árbol - Pérdida de verticalidad de árbol
5395649;27/04/2022;11 Suba;VILLA DEL PRADO;17 - SAN JOSE DE BAVARIA;CL 170 44B 96;Daño en redes de servicio públicos acueducto
5395648;27/04/2022;2 Chapinero;CHICO;88 - EL REFUGIO;CL 88 9A 44;Caida de árbol
5395647;27/04/2022;4 San Cristobal;RAMAJAL;32 - SAN BLAS;CL 30C SUR 09 ESTE 18;Caida de árbol - Pérdida de verticalidad de árbol
5395646;27/04/2022;12 Barrios Unidos;LA ESPERANZA;98 - LOS ALCAZARES;AK 14 63 55;Daño en redes de servicio públicos alcantarillado
5395645;27/04/2022;17 La Candelaria;LAS AGUAS;94 - LA CANDELARIA;KR 5 ESTE 19A 99;Caida de árbol
5395644;27/04/2022;2 Chapinero;MARLY;99 - CHAPINERO;CL 50 13 62;Daño en redes de servicio públicos alcantarillado
5395643;27/04/2022;3 Santa Fe;LAS AGUAS;92 - LA MACARENA;KR 1 20 53;Caida de árbol
5395642;27/04/2022;3 Santa Fe;LA MACARENA;92 - LA MACARENA;CL 30 3;Caida de árbol
5395641;27/04/2022;11 Suba;EL BATAN;20 - LA ALHAMBRA;AK 45 122 1;Daño en redes de servicio públicos alcantarillado
5395640;27/04/2022;8 Kennedy;URBANIZACION CARVAJAL;45 - CARVAJAL;CL 38D SUR 68L 19;Conato de incendio
5395639;27/04/2022;1 UsaquÃ©n;SANTA BARBARA OCCIDENTAL;16 - SANTA BARBARA;KR 17A 119A 41;Daño en redes de servicio públicos alcantarillado
5395638;27/04/2022;1 UsaquÃ©n;URBANIZAL SEÃ‘ORIAL;10 - LA URIBE;KR 8G 165A 57;Daño en redes de servicio públicos alcantarillado
5395637;27/04/2022;1 UsaquÃ©n;NUEVO CONTRY;13 - LOS CEDROS;KR 13 134C 44;Caida de árbol
5395636;27/04/2022;15 Antonio NariÃ±o;SANTANDER SUR;38 - RESTREPO;KR 29 27 SUR 64;Quemas - Basuras
5395635;27/04/2022;19 Ciudad BolÃ­var;BELLA FLOR;67 - LUCERO;DG 75A BIS SUR 26F 11;Conato de incendio
5395634;27/04/2022;10 Engativa;FLORIDA BLANCA NORTE;30 - BOYACA REAL;KR 92 71A 65;Caida de árbol
5395633;27/04/2022;19 Ciudad BolÃ­var;LA ACASIA IV;67 - LUCERO;KR 18P BIS 64A SUR 25;Riesgo de Fenómeno de remoción en masa
5395632;27/04/2022;1 UsaquÃ©n;SANTA ANA OCCIDENTAL;14 - USAQUEN;DG 107 6 90;Caida de árbol - Pérdida de verticalidad de árbol
5395631;27/04/2022;11 Suba;CASA BLANCA;2 - LA ACADEMIA;KR 52 222 50;Caida de árbol
5395630;27/04/2022;10 Engativa;NORMANDIA;31 - SANTA CECILIA;CL 53 71 22;Caida de árbol - Pérdida de verticalidad de árbol
5395629;27/04/2022;11 Suba;GILMAR;18 - BRITALIA;KR 62 161C 33;Caida de árbol
5395628;27/04/2022;10 Engativa;GARCES NAVES OCCIDENTAL;73 - GARCES NAVAS;CL 75B 106 33;Daño en redes de servicio públicos acueducto
5395627;27/04/2022;5 Usme;VILLA ANITA;58 - COMUNEROS;CL 117A SUR 12 6;Encharcamiento
5395626;27/04/2022;8 Kennedy;CIUDAD TECHO;46 - CASTILLA;AK 80 8B 37;Caida de árbol
5395625;27/04/2022;11 Suba;TEJARES DEL NORTE;17 - SAN JOSE DE BAVARIA;KR 49 186 26;Escape de gas - Daño en redes domiciliarias de servicio públicos gas
5395624;27/04/2022;4 San Cristobal;RAMAJAL;32 - SAN BLAS;KR 11 ESTE 28C SUR 80;Fenómeno de Remoción en Masa
5395623;27/04/2022;12 Barrios Unidos;PARQUE POPULAR SALITRE;103 - PARQUE SALITRE;KR 68 63 70;Caida de árbol
5395622;27/04/2022;11 Suba;BERLIN IV;71 - TIBABUYES;KR 149C 139 47;Animales Peligrosos
5395621;27/04/2022;8 Kennedy;SUPER MANZANA 7;47 - KENNEDY CENTRAL;KR 78H 33 SUR 40;Poda y Tala
5395620;27/04/2022;1 UsaquÃ©n;LOS CEDRITOS;13 - LOS CEDROS;KR 17 144 09;Caida de árbol
5395619;27/04/2022;19 Ciudad BolÃ­var;LA ESTANCIA;69 - ISMAEL PERDOMO;CL 59 SUR 75 24;Caida de árbol
5395618;27/04/2022;1 UsaquÃ©n;MARGARITAS I SECTOR;13 - LOS CEDROS;KR 18 148 64;Caida de árbol
5395617;27/04/2022;8 Kennedy;LOS PANTANOS;79 - CALANDAIMA;CL 34A SUR 99A BIS;Daño en redes de servicio públicos alcantarillado
5395616;27/04/2022;2 Chapinero;EL REFUGIO;88 - EL REFUGIO;DG 91 4B 85;Animales Peligrosos
5395615;27/04/2022;1 UsaquÃ©n;SANTA BIBIANA;16 - SANTA BARBARA;KR 45 103 16;Riesgo de colapso estructural
5395614;27/04/2022;8 Kennedy;EL TINTAL;46 - CASTILLA;CL 12 81 18;Hallazgo de materiales peligrosos
5395613;27/04/2022;11 Suba;PORTALES DEL NORTE;18 - BRITALIA;KR 72 168 00;Caida de árbol
5395612;27/04/2022;6 Tunjuelito;ABRAHAM LINCOLN;62 - TUNJUELITO;KR 12 52 SUR 20;Daño en redes de servicio públicos energía
5395611;27/04/2022;8 Kennedy;URBANIZACION CATALINA;46 - CASTILLA;CL 6B 79A 0;Daños en malla vial
5395610;27/04/2022;17 La Candelaria;CENTRO ADMINISTRATIVO;94 - LA CANDELARIA;KR 4 7 28;Caida de árbol
