Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación;Factor Humano
5396143;4/5/2022;16 Puente Aranda;VILLA INES;40 - CIUDAD MONTES;CL 1G 38;Daño en redes de servicio públicos acueducto;Si
5396142;4/5/2022;4 San Cristobal;TIGUAQUE;N/A;AV CIRCUNVALAR 73 A SUR;Quemas;Si
5396141;4/5/2022;5 Usme;LA ANDREA;57 - GRAN YOMASA;KR 14 80 SUR 10;Daño en redes de servicio públicos acueducto;Si
5396140;4/5/2022;19 Ciudad BolÃ­var;CORDILLERA SUR;67 - LUCERO;KR 19A 76 SUR 33;Riesgo de colapso estructural;
5396139;4/5/2022;10 Engativa;URBANIZACION CIUDAD BACHUE II;29 - MINUTO DE DIOS;CL 82B 95D 15;Caida de árbol;No
5396138;4/5/2022;8 Kennedy;SUPER MANZANA 15;47 - KENNEDY CENTRAL;AK 80 42A SUR 0;Conato de incendio;Si
5396137;4/5/2022;2 Chapinero;BOSQUE CALDERON;90 - PARDO RUBIO;CL 56 6 11;Caida de árbol;No
5396136;4/5/2022;13 Teusaquillo;BELALCAZAR;100 - GALERIAS;KR 30 45ª 00;Caida de árbol - Pérdida de verticalidad de árbol;No
5396135;4/5/2022;10 Engativa;VILLA DEL MAR;74 - ENGATIVA;CL 65 104 32;Daño en redes de servicio públicos energía;Si
5396134;4/5/2022;3 Santa Fe;LAS AGUAS;92 - LA MACARENA;KR 3 20 76;Rescate en Espacios Confinados - En Ascensores;Si
5396133;4/5/2022;1 Usaquen;LOS CEDRITOS;N/A;AC 147 15 95;Daño en redes de servicio públicos energía;Si
5396132;4/5/2022;10 Engativa;LA ISABELA;116 - ALAMOS;CL 65 95 67;Incendio Vehicular - Conato Vehicular;Si
5396131;4/5/2022;9 FontibÃ³n;SANTANDER;75 - FONTIBON;CL 22J 102 12;Daño en redes de servicio públicos acueducto;Si
5396130;4/5/2022;18 Rafael Uribe Uribe;CLARET;N/A;TV 23 24C SUR 41;Daño en redes de servicio públicos gas;Si
5396129;4/5/2022;10 Engativa;LAS FERIAS OCCIDENTAL;26 - LAS FERIAS;KR 69P 78 39;Daño en redes de servicio públicos acueducto;Si
5396128;4/5/2022;18 Rafael Uribe Uribe;QUIROGA CENTRAL;39 - QUIROGA;KR 18B 32 SUR 0;Daño en redes de servicio públicos gas;Si
5396127;4/5/2022;10 Engativa;NORMANDIA OCCIDENTAL;31 - SANTA CECILIA;CL 53 74A 1;Quemas - Basuras;Si
5396253;5/5/2022;5 Usme;SALON COMUNAL VEREDA LA REQUILINA;N/A;SALON COMUNAL VEREDA LA REQUILINA;Caida de árbol;No
5396252;5/5/2022;16 Puente Aranda;PENSILVANIA;108 - ZONA INDUSTRIAL;CL 12 31 0;Daño en redes de servicio públicos de teléfono;Si
5396251;5/5/2022;12 Barrios Unidos;SANTA SOFIA;98 - LOS ALCAZARES;KR 28 77 0;Conato de incendio;Si
5396250;5/5/2022;3 Santa Fe;LAS AGUAS;92 - LA MACARENA;CL 22 1 30;Riesgo de colapso estructural;
5396249;5/5/2022;3 Santa Fe;LOURDES;96 - LOURDES;KR 1 2A 23;Daño en redes de servicio públicos energía;Si
5396248;5/5/2022;18 Rafael Uribe Uribe;INGLES;39 - QUIROGA;DG 38A SUR 29 47;Daño en redes de servicio públicos energía;Si
5396247;5/5/2022;16 Puente Aranda;LA PRADERA;43 - SAN RAFAEL;KR 66 4B 0;Conato de incendio;Si
5396246;5/5/2022;18 Rafael Uribe Uribe;MURILLO TORO;1 Paseo de los Libertadores;KR 27 33 SUR 1;Quemas - Basuras;Si
5396245;5/5/2022;12 Barrios Unidos;MODELO;N/A;KR 60 63 1;Quemas;Si
5396244;5/5/2022;19 Ciudad BolÃ­var;CORUÃ‘A;65 - ARBORIZADORA;CL 59 BIS SUR 48B 4;Daño en redes de servicio públicos gas;Si
5396243;5/5/2022;13 Teusaquillo;LA ESMERALDA;106 - LA ESMERALDA;CL 44 53 64;Caida de árbol - Pérdida de verticalidad de árbol;No
5396242;5/5/2022;10 Engativa;EL LAUREL;26 - LAS FERIAS;KR 72 67;Daño en redes de servicio públicos alcantarillado;Si
5396241;5/5/2022;8 Kennedy;ALQUERIA DE LA FRAGUA;45 - CARVAJAL;CL 40 SUR 68A 0;Quemas - Basuras;Si
5396240;5/5/2022;5 Usme;ALFONSO LOPEZ;59 - ALFONSO LOPEZ;KR 6A ESTE 97B SUR 37;Daño en redes de servicio públicos acueducto;Si
5396239;5/5/2022;4 San Cristobal;GRANADA SUR;34 - 20 DE JULIO;CL 22A SUR 1A ESTE 11;Daño en redes de servicio públicos gas;Si
5396238;5/5/2022;4 San Cristobal;SAN BLAS II;32 - SAN BLAS;CL 28 BIS SUR 10H ESTE 60;Caida de árbol - Pérdida de verticalidad de árbol;No
5396237;5/5/2022;12 Barrios Unidos;LA ESPERANZA;98 - LOS ALCAZARES;KR 17 64 0;Daño en redes de servicio públicos alcantarillado;Si
5396236;5/5/2022;1 UsaquÃ©n;SAN ANTONIO NOR - OCCIDENTAL;10 - LA URIBE;CL 173 18 60;Incendio Vehicular - Conato Vehicular;Si
5396235;5/5/2022;10 Engativa;EL CENTAURO;74 - ENGATIVA;KR 105C 68 BIS 0;Caida de árbol - Pérdida de verticalidad de árbol;No
5396234;5/5/2022;2 Chapinero;SAN LUIS;N/A;KILOMETRO 4.5;Caida de árbol;No
5396233;5/5/2022;11 Suba;LAS MERCEDES SUBA;27 - SUBA;KR 106A 156 98;Caida de árbol;No
5396232;5/5/2022;19 Ciudad BolÃ­var;ARBORIZADORA ALTA;70 - JERUSALEM;CL 74B SUR 39 18;Quemas - Basuras;Si
5396231;5/5/2022;10 Engativa;BELLAVISTA OCCIDENTAL;26 - LAS FERIAS;KR 68H 71A 1;Daño en redes de servicio públicos alcantarillado;Si
5396230;5/5/2022;7 Bosa;SAN JOSE;85 - BOSA CENTRAL;DG 73H SUR 78D 9;Daño en redes de servicio públicos energía;Si
5396229;5/5/2022;19 Ciudad BolÃ­var;MADELENA II Y IV;65 - ARBORIZADORA;CL 65 SUR 68A 68;Caida de árbol - Pérdida de verticalidad de árbol;No
5396228;5/5/2022;10 Engativa;VILLA DEL MAR;73 - GARCES NAVAS;KR 101 69 21;Conato de incendio;Si
5396227;5/5/2022;2 Chapinero;PARDO RUBIO;90 - PARDO RUBIO;CL 52A KR 4;Riesgo de colapso estructural;
5396226;5/5/2022;18 Rafael Uribe Uribe;LUIS LOPEZ DE MESA;53 - MARCO FIDEL SUAREZ;DG 32A SUR 14A 97;Caida de árbol;No
5396225;5/5/2022;2 Chapinero;CHICO NORTE II;97 - CHICO LAGO;CL 95 13 76;Caida de árbol - Caída de ramas;No
5396224;5/5/2022;8 Kennedy;EL RINCON DEL CASTILLO;46 - CASTILLA;DG 10A 78 51;Daño en redes de servicio públicos gas;Si
5396223;5/5/2022;16 Puente Aranda;MILENTA;43 - SAN RAFAEL;AK 68 15 SUR 16;Daño en redes de servicio públicos gas;Si
5396222;5/5/2022;1 UsaquÃ©n;MARGARITAS I SECTOR;13 - LOS CEDROS;CL 147 KR 17;Daño en redes de servicio públicos de teléfono;Si
5396221;5/5/2022;1 UsaquÃ©n;EL REDIL;10 - LA URIBE;KR 7 171B 98;Caida de árbol;No
5396220;5/5/2022;2 Chapinero;CHICO;97 - CHICO LAGO;KR 11 90 55;Caida de árbol - Caída de ramas;No
